time,value
2013-04-01 11:00:00+00:00,1.058
2013-04-01 11:05:00+00:00,1.065
2013-04-01 11:10:00+00:00,1.058
2013-04-01 11:15:00+00:00,1.162
2013-04-01 11:20:00+00:00,1.119
2013-04-01 11:25:00+00:00,1.135
2013-04-01 11:30:00+00:00,1.11
2013-04-01 11:35:00+00:00,1.055
2013-04-01 11:40:00+00:00,0.987
2013-04-01 11:45:00+00:00,1.048
2013-04-01 11:50:00+00:00,0.984
2013-04-01 11:55:00+00:00,1.088
2013-04-01 12:00:00+00:00,1.007
2013-04-01 12:05:00+00:00,1.058
2013-04-01 12:10:00+00:00,1.137
2013-04-01 12:15:00+00:00,1.152
2013-04-01 12:20:00+00:00,1.119
2013-04-01 12:25:00+00:00,1.062
2013-04-01 12:30:00+00:00,1.016
2013-04-01 12:35:00+00:00,0.978
2013-04-01 12:40:00+00:00,1.077
2013-04-01 12:45:00+00:00,1.034
2013-04-01 12:50:00+00:00,1.074
2013-04-01 12:55:00+00:00,1.068
2013-04-01 13:00:00+00:00,0.995
2013-04-01 13:05:00+00:00,1.011
2013-04-01 13:10:00+00:00,1.014
2013-04-01 13:15:00+00:00,1.057
2013-04-01 13:20:00+00:00,1.018
2013-04-01 13:25:00+00:00,1.139
2013-04-01 13:30:00+00:00,1.216
2013-04-01 13:35:00+00:00,1.1
2013-04-01 13:40:00+00:00,1.102
2013-04-01 13:45:00+00:00,1.017
2013-04-01 13:50:00+00:00,1.065
2013-04-01 13:55:00+00:00,1.042
2013-04-01 14:00:00+00:00,1.016
2013-04-01 14:05:00+00:00,1.037
2013-04-01 14:10:00+00:00,1.089
2013-04-01 14:15:00+00:00,1.059
2013-04-01 14:20:00+00:00,0.993
2013-04-01 14:25:00+00:00,1.024
2013-04-01 14:30:00+00:00,1.046
2013-04-01 14:35:00+00:00,1.058
2013-04-01 14:40:00+00:00,1.04
2013-04-01 14:45:00+00:00,1.038
2013-04-01 14:50:00+00:00,1.118
2013-04-01 14:55:00+00:00,1.004
2013-04-01 15:00:00+00:00,1.004
2013-04-01 15:05:00+00:00,1.062
2013-04-01 15:10:00+00:00,1.066
2013-04-01 15:15:00+00:00,1.099
2013-04-01 15:20:00+00:00,1.041
2013-04-01 15:25:00+00:00,1.06
2013-04-01 15:30:00+00:00,1.063
2013-04-01 15:35:00+00:00,1.007
2013-04-01 15:40:00+00:00,1.077
2013-04-01 15:45:00+00:00,1.018
2013-04-01 15:50:00+00:00,1.039
2013-04-01 15:55:00+00:00,1.003
2013-04-01 16:00:00+00:00,1.045
2013-04-01 16:05:00+00:00,1.005
2013-04-01 16:10:00+00:00,1.036
2013-04-01 16:15:00+00:00,1.054
2013-04-01 16:20:00+00:00,1.048
2013-04-01 16:25:00+00:00,1.056
2013-04-01 16:30:00+00:00,1.094
2013-04-01 16:35:00+00:00,1.087
2013-04-01 16:40:00+00:00,1.037
2013-04-01 16:45:00+00:00,1.032
2013-04-01 16:50:00+00:00,0.973
2013-04-01 16:55:00+00:00,1.045
2013-04-01 17:00:00+00:00,1.082
2013-04-01 17:05:00+00:00,1.032
2013-04-01 17:10:00+00:00,1.027
2013-04-01 17:15:00+00:00,1.004
2013-04-01 17:20:00+00:00,1.135
2013-04-01 17:25:00+00:00,1.113
2013-04-01 17:30:00+00:00,1.067
2013-04-01 17:35:00+00:00,1.014
2013-04-01 17:40:00+00:00,1.03
2013-04-01 17:45:00+00:00,1.014
2013-04-01 17:50:00+00:00,0.96
2013-04-01 17:55:00+00:00,0.997
2013-04-01 18:00:00+00:00,1.023
2013-04-01 18:05:00+00:00,1.006
2013-04-01 18:10:00+00:00,1.053
2013-04-01 18:15:00+00:00,1.099
2013-04-01 18:20:00+00:00,0.99
2013-04-01 18:25:00+00:00,1.052
2013-04-01 18:30:00+00:00,0.959
2013-04-01 18:35:00+00:00,1.008
2013-04-01 18:40:00+00:00,1.008
2013-04-01 18:45:00+00:00,1.123
2013-04-01 18:50:00+00:00,1.091
2013-04-01 18:55:00+00:00,1.109
2013-04-01 19:00:00+00:00,1.046
2013-04-01 19:05:00+00:00,1.054
2013-04-01 19:10:00+00:00,1.117
2013-04-01 19:15:00+00:00,0.958
2013-04-01 19:20:00+00:00,1.155
2013-04-01 19:25:00+00:00,1.122
2013-04-01 19:30:00+00:00,1.088
2013-04-01 19:35:00+00:00,1.089
2013-04-01 19:40:00+00:00,1.017
2013-04-01 19:45:00+00:00,1.093
2013-04-01 19:50:00+00:00,1.127
2013-04-01 19:55:00+00:00,1.046
2013-04-01 20:00:00+00:00,1.044
2013-04-01 20:05:00+00:00,1.097
2013-04-01 20:10:00+00:00,1.064
2013-04-01 20:15:00+00:00,1.11
2013-04-01 20:20:00+00:00,1.051
2013-04-01 20:25:00+00:00,1.071
2013-04-01 20:30:00+00:00,1.161
2013-04-01 20:35:00+00:00,1.115
2013-04-01 20:40:00+00:00,1.103
2013-04-01 20:45:00+00:00,1.077
2013-04-01 20:50:00+00:00,1.129
2013-04-01 20:55:00+00:00,1.051
2013-04-01 21:00:00+00:00,1.042
2013-04-01 21:05:00+00:00,1.067
2013-04-01 21:10:00+00:00,1.041
2013-04-01 21:15:00+00:00,0.99
2013-04-01 21:20:00+00:00,1.048
2013-04-01 21:25:00+00:00,1.076
2013-04-01 21:30:00+00:00,1.083
2013-04-01 21:35:00+00:00,1.117
2013-04-01 21:40:00+00:00,1.104
2013-04-01 21:45:00+00:00,1.072
2013-04-01 21:50:00+00:00,1.057
2013-04-01 21:55:00+00:00,0.977
2013-04-01 22:00:00+00:00,1.021
2013-04-01 22:05:00+00:00,1.02
2013-04-01 22:10:00+00:00,1.029
2013-04-01 22:15:00+00:00,1.043
2013-04-01 22:20:00+00:00,1.112
2013-04-01 22:25:00+00:00,1.079
2013-04-01 22:30:00+00:00,1.035
2013-04-01 22:35:00+00:00,0.993
2013-04-01 22:40:00+00:00,1.066
2013-04-01 22:45:00+00:00,1.064
2013-04-01 22:50:00+00:00,1.044
2013-04-01 22:55:00+00:00,1.044
2013-04-01 23:00:00+00:00,1.05
2013-04-01 23:05:00+00:00,1.082
2013-04-01 23:10:00+00:00,1.014
2013-04-01 23:15:00+00:00,1.029
2013-04-01 23:20:00+00:00,1.053
2013-04-01 23:25:00+00:00,1.034
2013-04-01 23:30:00+00:00,1.007
2013-04-01 23:35:00+00:00,1.005
2013-04-01 23:40:00+00:00,1.011
2013-04-01 23:45:00+00:00,0.997
2013-04-01 23:50:00+00:00,1.042
2013-04-01 23:55:00+00:00,0.993
2013-04-02 00:00:00+00:00,1.04
2013-04-02 00:05:00+00:00,1.006
2013-04-02 00:10:00+00:00,0.999
2013-04-02 00:15:00+00:00,0.978
2013-04-02 00:20:00+00:00,1.016
2013-04-02 00:25:00+00:00,1.062
2013-04-02 00:30:00+00:00,1.064
2013-04-02 00:35:00+00:00,1.007
2013-04-02 00:40:00+00:00,0.935
2013-04-02 00:45:00+00:00,0.979
2013-04-02 00:50:00+00:00,0.902
2013-04-02 00:55:00+00:00,0.967
2013-04-02 01:00:00+00:00,0.947
2013-04-02 01:05:00+00:00,0.948
2013-04-02 01:10:00+00:00,0.929
2013-04-02 01:15:00+00:00,0.912
2013-04-02 01:20:00+00:00,0.917
2013-04-02 01:25:00+00:00,0.907
2013-04-02 01:30:00+00:00,0.832
2013-04-02 01:35:00+00:00,0.837
2013-04-02 01:40:00+00:00,0.916
2013-04-02 01:45:00+00:00,0.986
2013-04-02 01:50:00+00:00,0.955
2013-04-02 01:55:00+00:00,0.897
2013-04-02 02:00:00+00:00,0.901
2013-04-02 02:05:00+00:00,0.922
2013-04-02 02:10:00+00:00,0.968
2013-04-02 02:15:00+00:00,0.93
2013-04-02 02:20:00+00:00,0.961
2013-04-02 02:25:00+00:00,0.641
2013-04-02 02:30:00+00:00,0.345
2013-04-02 02:35:00+00:00,0.328
2013-04-02 02:40:00+00:00,0.289756
2013-04-02 02:45:00+00:00,0.266
2013-04-02 02:50:00+00:00,0.974
2013-04-02 02:55:00+00:00,0.969
2013-04-02 03:00:00+00:00,0.94
2013-04-02 03:05:00+00:00,0.884
2013-04-02 03:10:00+00:00,0.918
2013-04-02 03:15:00+00:00,0.918
2013-04-02 03:20:00+00:00,0.883
2013-04-02 03:25:00+00:00,0.801
2013-04-02 03:30:00+00:00,0.377
2013-04-02 03:35:00+00:00,0.253
2013-04-02 03:40:00+00:00,0.269
2013-04-02 03:45:00+00:00,0.302
2013-04-02 03:50:00+00:00,0.310835
2013-04-02 03:55:00+00:00,0.951
2013-04-02 04:00:00+00:00,0.983
2013-04-02 04:05:00+00:00,0.945
2013-04-02 04:10:00+00:00,0.936
2013-04-02 04:15:00+00:00,0.945
2013-04-02 04:20:00+00:00,0.855
2013-04-02 04:25:00+00:00,0.873
2013-04-02 04:30:00+00:00,0.876
2013-04-02 04:35:00+00:00,0.902
2013-04-02 04:40:00+00:00,0.875
2013-04-02 04:45:00+00:00,0.874
2013-04-02 04:50:00+00:00,0.901
2013-04-02 04:55:00+00:00,0.517
2013-04-02 05:00:00+00:00,0.440452
2013-04-02 05:05:00+00:00,0.354
2013-04-02 05:10:00+00:00,0.321
2013-04-02 05:15:00+00:00,0.30385
2013-04-02 05:20:00+00:00,0.916
2013-04-02 05:25:00+00:00,1.017
2013-04-02 05:30:00+00:00,0.986
2013-04-02 05:35:00+00:00,0.918
2013-04-02 05:40:00+00:00,0.936
2013-04-02 05:45:00+00:00,0.893
2013-04-02 05:50:00+00:00,0.94
2013-04-02 05:55:00+00:00,0.952
2013-04-02 06:00:00+00:00,0.536
2013-04-02 06:05:00+00:00,0.383682
2013-04-02 06:10:00+00:00,0.234
2013-04-02 06:15:00+00:00,0.35
2013-04-02 06:20:00+00:00,0.966
2013-04-02 06:25:00+00:00,1.007
2013-04-02 06:30:00+00:00,1.013
2013-04-02 06:35:00+00:00,0.997
2013-04-02 06:40:00+00:00,0.99
2013-04-02 06:45:00+00:00,0.873
